2024-03-08 12:04:13.6527||||Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|INFO|User profile is available. Using 'C:\Users\jtelford\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. 
2024-03-08 12:04:14.5338||||Microsoft.Hosting.Lifetime|INFO|Now listening on: https://localhost:7295 
2024-03-08 12:04:14.5338||||Microsoft.Hosting.Lifetime|INFO|Now listening on: http://localhost:5011 
2024-03-08 12:04:14.6259||||Microsoft.AspNetCore.Mvc.Infrastructure.DefaultActionDescriptorCollectionProvider|INFO|No action descriptors found. This may indicate an incorrectly configured application or missing application parts. To learn more, visit https://aka.ms/aspnet/mvc/app-parts 
2024-03-08 12:04:14.6545||||Microsoft.Hosting.Lifetime|INFO|Application started. Press Ctrl+C to shut down. 
2024-03-08 12:04:14.6574||||Microsoft.Hosting.Lifetime|INFO|Hosting environment: Development 
2024-03-08 12:04:14.6574||||Microsoft.Hosting.Lifetime|INFO|Content root path: C:\Users\jtelford\WorkSpace\OrchardCoreShapes\OrchardCore.Web 
2024-03-08 12:04:16.1295|None|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/2 GET https://localhost:7295/ - - - 
2024-03-08 12:04:16.3092|None|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.Environment.Shell.ShellHost|INFO|Start creation of shells 
2024-03-08 12:04:19.2295|None|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.Environment.Shell.ShellHost|INFO|Done pre-creating and registering shells 
2024-03-08 12:04:19.2373|None|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.Environment.Shell.Builders.ShellContextFactory|INFO|Creating shell context for tenant 'Default' 
2024-03-08 12:04:19.4131|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.Modules.ModularTenantRouterMiddleware|INFO|Begin Routing Request 
2024-03-08 12:04:19.9277|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||Microsoft.AspNetCore.Routing.EndpointMiddleware|INFO|Executing endpoint 'OrchardCore.TheTheme.Controllers.HomeController.Index (TheTheme)' 
2024-03-08 12:04:19.9799|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|INFO|Route matched with {area = "TheTheme", action = "Index", controller = "Home"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Index() on controller OrchardCore.TheTheme.Controllers.HomeController (TheTheme). 
2024-03-08 12:04:19.9950|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.DefaultShapeTableManager|INFO|Start building shape table 
2024-03-08 12:04:20.0309|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Start discovering shapes 
2024-03-08 12:04:20.0309|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Start discovering candidate views filenames 
2024-03-08 12:04:20.0309|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Done discovering candidate views filenames 
2024-03-08 12:04:20.0309|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Start discovering candidate views filenames 
2024-03-08 12:04:20.0309|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Done discovering candidate views filenames 
2024-03-08 12:04:20.0471|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Start discovering candidate views filenames 
2024-03-08 12:04:20.0471|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Done discovering candidate views filenames 
2024-03-08 12:04:20.0471|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Start discovering candidate views filenames 
2024-03-08 12:04:20.0471|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Done discovering candidate views filenames 
2024-03-08 12:04:20.0471|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Start discovering candidate views filenames 
2024-03-08 12:04:20.0471|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Done discovering candidate views filenames 
2024-03-08 12:04:20.0471|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Start discovering candidate views filenames 
2024-03-08 12:04:20.0471|Default|00-63ccc907cbfe1287958cd270755dc84e-af70117e42741387-00||OrchardCore.DisplayManagement.Descriptors.ShapeTemplateStrategy.ShapeTemplateBindingStrategy|INFO|Done discovering candidate views filenames 
